 -0.70450000E+04   0.108850842E+01
 -0.70400000E+04   0.108511487E+01
 -0.70350000E+04   0.107790944E+01
 -0.70300000E+04   0.107801780E+01
 -0.70250000E+04   0.108170567E+01
 -0.70200000E+04   0.107716074E+01
 -0.70150000E+04   0.107497369E+01
 -0.70100000E+04   0.107297319E+01
 -0.70050000E+04   0.107277921E+01
 -0.70000000E+04   0.107162910E+01
 -0.69950000E+04   0.106950617E+01
 -0.69900000E+04   0.106942056E+01
 -0.69850000E+04   0.106538313E+01
 -0.69800000E+04   0.106462382E+01
 -0.69750000E+04   0.106130104E+01
 -0.69700000E+04   0.105395843E+01
 -0.69650000E+04   0.105637261E+01
 -0.69600000E+04   0.105916696E+01
 -0.69550000E+04   0.105416365E+01
 -0.69500000E+04   0.105277712E+01
 -0.69450000E+04   0.105198869E+01
 -0.69400000E+04   0.104874279E+01
 -0.69350000E+04   0.104807756E+01
 -0.69300000E+04   0.104436171E+01
 -0.69250000E+04   0.104399414E+01
 -0.69200000E+04   0.104439168E+01
 -0.69150000E+04   0.103719451E+01
 -0.69100000E+04   0.103526575E+01
 -0.69050000E+04   0.103611698E+01
 -0.69000000E+04   0.103562833E+01
 -0.68950000E+04   0.103343218E+01
 -0.68900000E+04   0.103149729E+01
 -0.68850000E+04   0.103092419E+01
 -0.68800000E+04   0.102945770E+01
 -0.68750000E+04   0.102683983E+01
 -0.68700000E+04   0.102319691E+01
 -0.68650000E+04   0.101990804E+01
 -0.68600000E+04   0.102149600E+01
 -0.68550000E+04   0.101885224E+01
 -0.68500000E+04   0.101642639E+01
 -0.68450000E+04   0.101448505E+01
 -0.68400000E+04   0.101362616E+01
