 #  (1) Input ln[Pc(E,T)] & calculate ln[n(E)] 
 #      using temperature input. 
 #  (2) Calc. numerical1 derivatives of ln[pc(E,T)] 
 #      and output them.
 # 
 #   NOTE: Only well-sampled energy range is output. 
 # 
 # /////////////////////
 # // temperature OK? //
 # /////////////////////
 #  T =    387.090000000000     
 #  RT (kcal / mol) =   0.769231280090822     
 # ************  
 #  N of points =           76
#  pdf(max) & Etop =       -3.173    -7565.00
#     energy range: elow & eup =    -7655.000 to    -7470.000
  -7655.00000000000        1.34087586664718       -9956.58514603343     
  -7650.00000000000        1.34437266664700       -9949.87519775019     
  -7645.00000000000        1.33926767664707       -9943.14141936696     
  -7640.00000000000        1.33425338664711       -9936.48252098372     
  -7635.00000000000        1.33568888664704       -9929.79888550049     
  -7630.00000000000        1.32969958664708       -9923.12563211725     
  -7625.00000000000        1.32519018664716       -9916.50188963402     
  -7620.00000000000        1.32460576664707       -9909.87373025078     
  -7615.00000000000        1.32430641664705       -9903.25583196754     
  -7610.00000000000        1.32010316664691       -9896.63066608431     
  -7605.00000000000        1.31758377664701       -9890.05480030108     
  -7600.00000000000        1.31686241664720       -9883.45482831784     
  -7595.00000000000        1.31213572664710       -9876.88617613460     
  -7590.00000000000        1.31097546664714       -9870.33347105137     
  -7585.00000000000        1.31123509664703       -9863.77642146813     
  -7580.00000000000        1.30909438664712       -9857.22112008490     
  -7575.00000000000        1.30409646664702       -9850.68547760166     
  -7570.00000000000        1.30186108664693       -9844.18015541843     
  -7565.00000000000        1.30007307664728       -9837.66686673519     
  -7560.00000000000        1.29629500664705       -9831.17942465195     
  -7555.00000000000        1.29614262664709       -9824.70391666872     
  -7550.00000000000        1.29709268664719       -9818.21799838548     
  -7545.00000000000        1.29220241664698       -9811.73298980225     
  -7540.00000000000        1.28993144664710       -9805.29597421901     
  -7535.00000000000        1.28895426664712       -9798.83367533578     
  -7530.00000000000        1.28570412664722       -9792.40643155254     
  -7525.00000000000        1.28511665664701       -9785.97663406931     
  -7520.00000000000        1.28148075664703       -9779.55526498607     
  -7515.00000000000        1.27811194664719       -9773.16182650284     
  -7510.00000000000        1.27751319664694       -9766.77414551960     
  -7505.00000000000        1.27616927664694       -9760.38669453637     
  -7500.00000000000        1.27385398664719       -9754.01245275313     
  -7495.00000000000        1.26922221664736       -9747.64815466989     
  -7490.00000000000        1.26168456664691       -9741.32023058666     
  -7485.00000000000        1.26065437664693       -9735.03130900343     
  -7480.00000000000        1.26522903664718       -9728.71368682019     
  -7475.00000000000        1.26310886664705       -9722.37901863695     
  -7470.00000000000        1.25838072664701       -9716.08259815372     
 # N of data for output =           38
 # min & max energy =   -7655.00000000000       -7470.00000000000     
